Date,Unit,Position,Shift,Left Flange,Rim Thickness,Right Flange,Reason,Final,Rim Loss Calc,Cuts
11/1/17,8612,3,2,0,29,0,HF/MM,16,13,8
11/1/17,8612,1,2,0,28,0,HF/MM,16,12,8
11/1/17,8612,4,2,0,28,0,HF/MM,16,12,
11/1/17,8612,6,3,0,28,0,HF,,N/A,3
11/23/17,HZGX208,1,3,0,43,0,Skids/Shells,38,5,5
11/23/17,HZGX208,2,3,0,42,0,Skids/Shells,38,4,4
11/24/17,1049,6,3,0,18,3,TF,13,5,5
11/24/17,1049,5,3,0,23,2,WD/TF,19,4,5
11/24/17,1049,4,3,0,23,0,WD,19,4,5
11/24/17,1049,3,3,0,19,0,HF,19,0,5
11/26/17,9609,4,3,0,14,0,HF,14,0,3
11/26/17,9609,3,3,0,16,0,HF,14,2,5
11/27/17,8610,3,3,3,13,0,TF,10,3,6
11/27/17,8610,6,3,0,17,0,HF,16,1,2
12/1/17,8909,2,2,0,42,0,MM,29,13,15
12/4/17,9351,4,3,0,15,2,HF/TF,11,4,5
12/4/17,9351,5,3,0,18,0,HF,,N/A,
12/4/17,9351,6,3,0,18,0,HF,,N/A,
