uID,RN,Amount Removed (1/16),Reason,Axle Position,Side,WT Start Rim,ES Start Rim,Start Difference,WT Removed,Flange Condition Bool,CDSS,CDFIM,CDSWC
GoldenBC 2015-07-07 21:07:00 L,8805,4.221171653543305,None,4,L,0.0,1.313,-1.313,-509.24909,FALSE,1160.9502,1034.97815,1018.49811
GoldenBC 2015-07-07 21:07:00 R,8805,4.221171653543305,None,4,R,1.375,1.313,0.062000000000000055,8.27591,FALSE,1160.9502,1034.97815,1018.49811
GoldenBC 2015-07-15 15:31:00 L,8944,-6.159313385826774,None,1,L,0.0,0.938,-0.938,2.572,FALSE,1187.41821,1037.49414,1032.40613
GoldenBC 2015-07-15 15:31:00 R,8944,-4.159313385826774,None,1,R,0.0,1.063,-1.063,2.572,FALSE,1187.41821,1037.49414,1032.40613
GoldenBC 2015-07-15 16:42:00 L,8944,-4.236831496062994,None,1,L,0.0,0.938,-0.938,3.37195,FALSE,1136.86621,1033.0061,1026.30225
GoldenBC 2015-07-15 16:42:00 R,8944,-2.236831496062994,None,1,R,0.0,1.063,-1.063,3.37195,FALSE,1136.86621,1033.0061,1026.30225
GoldenBC 2015-08-22 15:06:00 L,9367,2.820100787401575,High Flange,3,L,1.375,1.25,0.125,7.65191,TRUE,1186.17407,1048.08215,1019.74615
GoldenBC 2015-08-22 15:06:00 R,9367,2.820100787401575,High Flange,3,R,1.375,1.25,0.125,7.65191,TRUE,1186.17407,1048.08215,1019.74615
GoldenBC 2015-08-28 14:26:00 L,8904,-0.5474456692913403,High Flange,2,L,0.9375,0.75,0.1875,3.89343,TRUE,1115.83813,1025.59814,1005.03809
GoldenBC 2015-08-28 14:26:00 L,8904,-0.5474456692913403,High Flange,2,L,0.9375,0.75,0.1875,3.89343,TRUE,1115.83813,1025.59814,1005.03809
GoldenBC 2015-08-28 14:26:00 L,8904,-0.5474456692913403,High Flange,2,L,0.9375,0.75,0.1875,3.89343,TRUE,1115.83813,1025.59814,1005.03809
GoldenBC 2015-08-28 14:26:00 L,8904,-0.5474456692913403,High Flange,2,L,0.9375,0.75,0.1875,3.89343,TRUE,1115.83813,1025.59814,1005.03809
GoldenBC 2015-08-28 14:26:00 L,8904,-0.5474456692913403,High Flange,2,L,0.9375,0.75,0.1875,3.89343,TRUE,1115.83813,1025.59814,1005.03809
GoldenBC 2015-08-28 14:26:00 R,8904,2.460554330708659,High Flange,2,R,0.9375,0.938,-0.0004999999999999449,3.89343,TRUE,1115.83813,1025.59814,1005.03809
GoldenBC 2015-08-28 14:26:00 R,8904,2.460554330708659,High Flange,2,R,0.9375,0.938,-0.0004999999999999449,3.89343,TRUE,1115.83813,1025.59814,1005.03809
GoldenBC 2015-08-28 14:26:00 R,8904,2.460554330708659,High Flange,2,R,0.9375,0.938,-0.0004999999999999449,3.89343,TRUE,1115.83813,1025.59814,1005.03809
GoldenBC 2015-08-28 14:26:00 R,8904,2.460554330708659,High Flange,2,R,0.9375,0.938,-0.0004999999999999449,3.89343,TRUE,1115.83813,1025.59814,1005.03809
